test_name,root_cause_score,impact_score,action_score,overall_score,response_time,rc_keyword_overlap,rc_sequence_sim,rc_technical_match,imp_keyword_overlap,imp_sequence_sim,imp_technical_match,act_keyword_overlap,act_sequence_sim,act_technical_match
Database Connection Timeout,0.7575837348689622,0.7029553611021597,0.6262191512612695,0.6955860824107972,10.18,0.4,0.7401574803149606,1.0,0.4117647058823529,0.5608465608465608,1.0,0.20833333333333334,0.43884892086330934,1.0
Null Pointer Exception in Service Layer,0.7417281105990784,0.5870963818789906,0.5739445050940142,0.6342563325240277,10.13,0.4444444444444444,0.6193548387096774,1.0,0.13636363636363635,0.43478260869565216,1.0,0.19230769230769232,0.23487544483985764,1.0
Third-Party API Rate Limit Exceeded,0.22323698547215498,0.3484509402067408,0.5817994505494506,0.38449579207611545,10.32,0.21428571428571427,0.3728813559322034,0.0,0.09090909090909091,0.23300970873786409,1.0,0.10714285714285714,0.30036630036630035,1.0
Memory Leak in Background Task,0.31666666666666665,0.46522894128634046,0.6176989406257699,0.4665315161929257,10.84,0.1,0.3333333333333333,1.0,0.058823529411764705,0.08771929824561403,1.0,0.2727272727272727,0.2682926829268293,1.0
Authentication Token Expired,0.35073260073260076,0.5155296490948665,0.634178694399825,0.5001469814090974,10.07,0.0,0.5357142857142857,1.0,0.12,0.17094017094017094,1.0,0.23529411764705882,0.3236994219653179,1.0
Deadlock in Concurrent Transactions,0.36832897413542576,0.5274574946257573,0.6285489896417049,0.5081118194676293,11.22,0.06666666666666667,0.44594594594594594,1.0,0.10714285714285714,0.23529411764705882,1.0,0.15384615384615385,0.4583333333333333,1.0
File System Permission Denied,0.6530303030303031,0.5109087534031845,0.6201038205980067,0.5946809590104981,11.07,0.26666666666666666,0.4484848484848485,1.0,0.043478260869565216,0.23529411764705882,1.0,0.16666666666666666,0.39069767441860465,1.0
Circuit Breaker Open State,0.688954991087344,0.35785144566301097,0.5612939390934952,0.5360334586146168,10.73,0.5454545454545454,0.7411764705882353,1.0,0.08333333333333333,0.2966101694915254,1.0,0.15789473684210525,0.30097087378640774,1.0
JSON Parsing Error Invalid Format,0.30803066482342595,0.5181918132111719,0.5602356014303467,0.46215269315498153,9.58,0.0,0.29357798165137616,1.0,0.04,0.27722772277227725,1.0,0.07142857142857142,0.20930232558139536,1.0
SSL Certificate Verification Failed,0.45833333333333337,0.6067943506874804,0.5916318950529477,0.5522531930245872,11.15,0.25,0.4166666666666667,1.0,0.22727272727272727,0.4732824427480916,1.0,0.18518518518518517,0.21754385964912282,1.0
